"job_id","sentence"
"JFD22519285","Je hebt HBO werk en denk niveau"
"JFD22519285","Je hebt goede kennis van .NET"
"JFD22519285","Je hebt ervaring in een Agile omgeving"
"JFD22519285","Kennis en kunde van CRM Web Win SharePoint is allemaal top"
"JFD22519285","Je communiceert goed"
"JFD22519285","Je bent graag bezig met techniek"
"JFD22519285","Je hebt de wil en motivatie om de business te doorgronden"
"JFD22519743","De functie van Productie Manager verlangt een sterke klant en markt gerichtheid creatief innovatief denken en een eigen inbreng van kennis en ervaringen"
"JFD22519743","Een afgeronde relevante HBO opleiding"
"JFD22519743","Minimaal 5 jaar relevante werkervaring op organisatorisch en leidinggevend gebied in een internationale productie en of procesomgeving"
"JFD22519743","Organisatorisch inzicht ondernemend en technische affiniteit"
"JFD22519743","Is pro actief en in staat om met visie aan de verdere ontwikkeling van de organisatie te werken"
"JFD22519743","Kennis van O.E.E. en 5S is een pre"
"JFD22519743","Kennis en ervaring in de kunststofbuis extrusie is een pre"
"JFD22519743","Motiverende coachende stijl van leidinggeven"
"JFD22519743","Goede communicatieve vaardigheden in Nederlands en Engels zowel mondeling als schriftelijk"
"JFD22519743","Kennis van organisatorische procedures en instructies zoals o.a"
"JFD22519743","Kennis en ervaring met MS office pakket"
"JFD22520002","Je hebt 2 5 jaar ervaring in Unix en netwerk omgevingen"
"JFD22520002","Installatie configuratie beheer en tuning van Linux systemen zijn voor jou bekend terrein"
"JFD22520002","Verder heb je ervaring met SAN omgevingen netwerken en firewalls"
"JFD22520002","Kennis van HA omgevingen is een pre"
"JFD22520002","Daarnaast ben je communicatief vaardig flexibel accuraat en professioneel ingesteld"
"JFD22520002","Verder werk en denk je op HBO niveau en ben je gemotiveerd om in teamverband maximale resultaten te behalen"
"JFD22520002","Tot slot ben je bereid om regelmatig mee te draaien in de wachtdienst"
"JFD22520519","Je hebt gedegen ervaring met Microsoft .NET minmaal 3 jaar"
"JFD22520519","Je bent op de hoogte van technologische trends"
"JFD22520519","Je hebt ervaring met HTML"
"JFD22520519","Je hebt communicatieve vaardigheden"
"JFD22520519","Je beschikt over minimaal een afgeronde HBO opleiding"
"JFD22520519","Het hebben van vakgerelateerde certificeringen is een pre"
"JFD22520520","Je bent zelfstandig maar je werkt ook uitstekend samen"
"JFD22520520","Je communiceert gemakkelijk met iedereen in de organisatie"
"JFD22520520","Je focus ligt permanent op toegevoegde waarde en snelle resultaten"
"JFD22520520","Je bent thuis in een scala van methoden en technieken en je leert snel"
"JFD22520520","Ook hierin ben je creatief en toon je initiatief"
"JFD22520520","Agile SCRUM RUP"
"JFD22520520",".NET C ASP.NET WCF WPF Silverlight SQL server SharePoint BizTalk"
"JFD22520520","UML en OO"
"JFD22520520","Flexibel ten aanzien van reistijden"
"JFD22528984","Om deze functie goed uit te kunnen voeren heb je een HBO denk werkniveau en beschik je over"
"JFD22528984","Minimaal 5 jaar ervaring met .NET C ASP.NET WebForms en MVC HTML JavaScript en CSS"
"JFD22528984","Ervaring met Microsoft tools als SQL Server en IIS"
"JFD22528984","Ervaring met Android is een pre"
"JFD22528984","De volgende eigenschappen accuraat oplossingsgericht resultaatgericht zelfstandig en flexibel"
"JFD22528984","Voortdurende nieuwsgierigheid naar de nieuwste ontwikkelingen op softwaregebied"
"JFD22528984","De juiste drive om positieve bijdrage te leveren aan onze dynamische en groeiende organisatie"
"JFD22532378","We zoeken iemand die veel ervaring heeft met het bouwen van een Intranet en hier alle meerdere opdrachten in heeft gedaan"
"JFD22532516","Gezien de tijdsdruk wordt directe inzetbaarheid gevraagd en ruime ervaring"
"JFD22532516","Ruime ervaring met C en WCF"
"JFD22532516","Kennis van en ervaring met TFS .Net WCF MEF ASP.Net XML"
"JFD22532516","Webservices HTML SQL databases SQL Server SOAP"
"JFD22532516","Zelfstandig planmatig en accuraat kunnen werken"
"JFD22532516","Snel van begrip snel kunnen inwerken in nieuwe materie"
"JFD22532516","Vakkundig handelen senior"
"JFD22532516","Uitstekende communicatieve vaardigheden"
"JFD22532516","Klant en kwaliteitsgericht"
"JFD22532516","Team en samenwerkingsgericht"
"JFD22532516","Analytische kwaliteiten"
"JFD22532516","Kennis en ervaring bij de RDW ICT is een pre"
"JFD22532546","Gezien de tijdsdruk wordt directe inzetbaarheid gevraagd en ruime ervaring"
"JFD22532546","Opleidingsniveau HBO"
"JFD22532546","Aantal jaren werkervaring 5"
"JFD22532650","Dit ben jij Gedreven door Technologie en zoeken naar oplossingen"
"JFD22532650","Je beschikt over een afgeronde HBO opleiding"
"JFD22532650","Je hebt gedegen programmeerkennis"
"JFD22532650","Bij voorkeur de Microsoft technologieen en .NET"
"JFD22532650","Je bent oplossingsgericht en probeert door middel van de laatste technologische ontwikkelingen de markt te ondersteunen"
"JFD22532650","Je bent resultaat gericht maar verliest daarbij kwaliteit niet uit het oog"
"JFD22532650","Je beheerst de Nederlandse en Engelse taal uitstekend"
"JFD22532650","Vanwege dit laatste zijn we op zoek naar iemand die leergierig is en snel kan schakelen naar nieuwe technologieen en richtingen waarin de markt zich beweegt"
"JFD22532968","Uitgebreide kennis van het .NET platform"
"JFD22532968","Meerjarige kennis van C"
"JFD22532968","Duidelijk aantoonbare kennis van de SQL server"
"JFD22532968","Wij zoeken iemand met minimaal 4 jaar relevante werkervaring"
"JFD22532968","Goede communicatieve vaardigheden"
"JFD22532968","Teamspeler maar ook zelfstandig"
"JFD22532968","Stressbestendig"
"JFD22532968","Innovatief en creatief"
"JFD22533671","Je hebt een passie voor de nieuwste technologieen"
"JFD22533671","Je vindt het uitdagend om nieuwe functionaliteiten te bedenken ontwerpen en ontwikkelen"
"JFD22533671","Je beschikt over een grote mate van verantwoordelijkheidsgevoel"
"JFD22533671","Je kan goed functioneren in teamverband"
"JFD22533671","Aantoonbare ervaring als .NET Software Developer"
"JFD22533671","Ruime ervaring in"
"JFD22533671","ASP.NET"
"JFD22533671","C"
"JFD22533671","Pre Je hebt inzicht in architecturen en kennis van logistieke commerciele en financiele processen"
"JFD22534261","Minimaal 2 jaar ervaring met ASP.NET C"
"JFD22534261","Ervaring met WPF of Multitouch of Surface"
"JFD22534261","Ervaring met SQLserver"
"JFD22534261","Je kan goed werken in een kleine non profit omgeving"
"JFD22534272","HBO werk en denkniveau"
"JFD22534272","minimaal 1 jaar ervaring tot maximaal 5 jaar ervaring"
"JFD22534272","Ervaring met mobile applicaties"
"JFD22534272","Kennis en ervaring met ASP.NET C"
"JFD22534272","Ervaring met Objective C is een pre"
"JFD22534272","Ervaring met SCRUM is een pre"
"JFD22535428","Eigen initiatief tonen wordt zeer gewaardeerd"
"JFD22535428","Er wordt van je verwacht dat je zelfstandig te werk kan gaan en sterk bent in het begrijpen van bedrijfsprocessen"
"JFD22535428","Dat je minimaal 3 jaar ervaring hebt met Microsoft .NET"
"JFD22535428","Ervaring op het gebied van WPF ASP is een pre"
"JFD22535428","Dat je communicatief vaardig bent en het leuk vind om mee te denken over bedrijfsmatige processen"
"JFD22535466","Je bent een teamplayer die goed kan discussieren over verschillende oplossingsrichtingen"
"JFD22535466","Je kunt je mening en ideeen goed verwoorden en staat open voor de ideeen van anderen om zo tot de beste oplossing te komen"
"JFD22535466","Je hebt minimaal 2 jaar ervaring als .NET developer"
"JFD22535466","Je kent Visual Studio op je duimpje en bent in staat gelaagde applicaties te bouwen met ASP .NET MVC"
"JFD22535466","Je hebt ervaring met het werken aan webapplicaties met relatief veel gebruikers en data"
"JFD22535466","Je kunt zelfstandig een TO maken en je keuzes onderbouwen naar je leidinggevende"
"JFD22535466","Je bent bekend met Agile ontwikkelmethodieken TDD IoC"
"JFD22535466","Je produceert elegante en efficiente code"
"JFD22535466","Je bent communicatiefvaardig en een teamplayer"
"JFD22535466","Je kunt je mondeling en schriftelijk goed in het Engels uitdrukken"
"JFD22535466","Kennis van social media API s is een pre evenals kennis van Windows Azure"
"JFD22535722","Heb je daarnaast ook nog eens ervaring met .Net HTML5 AJAX en jQuery"
"JFD22535722","HTML5"
"JFD22535722","Mobile"
"JFD22535722","AJAX"
"JFD22535722","jQuery"
"JFD22535722","C"
"JFD22535722",".Net"
"JFD22535722","Wij zoeken een academisch opgeleid persoon die minimaal twee jaar professionele werkervaring heeft"
"JFD22535722","Creatief"
"JFD22535722","Innovatief"
"JFD22535722","Sociaal"
"JFD22536239","Betrouwbaar resultaatgericht en voorspelbaar"
"JFD22536239","Spreekt een job met veel verantwoordelijkheid en eigen inbreng in een professioneel team je aan"
"JFD22536239","Minimaal 3 jaar ervaring met het ontwikkelen van software in de ontwikkelomgeving van Microsoft Dynamics AX X"
"JFD22536239","Minimaal een afgeronde HBO opleiding bij voorkeur richting Informatica"
"JFD22536239","Deze kennis en ervaring heb je aangevuld met ten minste twee jaar ervaring in Microsoft Dynamics AX"
"JFD22536239","Ervaring met het ontwikkelen in gerelateerde software als Microsoft Sharepoint BizTalk .NET en SQL is een absolute pre"
"JFD22536239","Creatief en analytisch ingesteld"
"JFD22536239","Je werkt autonoom integreert soepel in een team en bent gericht op goede samenwerking met klanten en collega s"
"JFD22536239","Je bent ambitieus leergierig en wilt je binden aan een organisatie die gaat voor de lange termijn met voldoende uitdaging om je ontwikkelen en om je loopbaan verder vorm te geven"
"JFD22536442","Goede kennis van .NET en VB"
"JFD22536442","Ervaring met MS SQL en Access databases"
"JFD22536442","Collegiaal"
"JFD22536442","Weet optimaal resultaat na te streven"
"JFD22536442","Enige affiniteit met de agrarische sector is gewenst"
"JFD22536442","Goede communicatie in NL UK en DE"
"JFD22536442","Minimaal opleidingsniveau HBO"
"JFD22536442","Studierichting en Informatica Computerkunde Grafische Vormgeving"
"JFD22537081","Minimaal Bachelor diploma in Informational Technology Computer Science"
"JFD22537081","Minimaal 5 7 jaar ervaring als C .NET Developer bij voorkeur gewerkt met .NET 4.0 4.5"
"JFD22537081","5 jaar ervaring met .NET en MVC"
"JFD22537081","5 jaar ervaring met SQL Server"
"JFD22537081","Ervaring met design patterns en object oriented programming OOP"
"JFD22537081","Ervaring met Unit testing Functional testing"
"JFD22537081","Vloeiende beheersing van de Nederlandse en de Engelse taal"
"JFD22537081","Oplossingsgericht en resultaatgericht"
"JFD22537081","Uitstekende communicatieve vaardigheden"
"JFD22537278","Minimaal al deze producten goed beheersen"
"JFD22537278","Checkpoint R70.40 R75.40VSX Edge UTM 1"
"JFD22537278","F5 Big IP LTM VIPRION"
"JFD22537278","Juniper SRX Services Gateway Firewall"
"JFD22537278","Cisco routing switching IOS en of Nexus"
"JFD22537278","Daarnaast moet men minimaal twee van onderstaande producten kennis hebben"
"JFD22537278","CiscoWorks en of CiscoPrime"
"JFD22537278","Checkpoint UTM 1 edge firewalls"
"JFD22537278","DNS Bind en of Infoblox"
"JFD22537278","Proxyservers McAfee WebGateway en of Bluecoat"
"JFD22537278","Unix kennis"
"JFD22537278","Cisco Ironport Email Security"
"JFD22537335","Een afgeronde HBO of WO opleiding met een flink ICT component"
"JFD22537335","Enkele jaren ervaring met het ontwikkelen in C .NET"
"JFD22537335","Kennis van PHP en Entity Framework is een pre"
"JFD22537335","Passie voor software ontwikkeling"
"JFD22537335","Communicatief sterk"
"JFD22537335","Ook kandidaten met een PHP achtergrond die zich willen ontwikkelen in .NET vragen wij te reageren"
"JFD22537456","Werkniveau HBO Universitair"
"JFD22537456","Werkervaring 3 5 jaar ervaring"
"JFD22537456","Je beschikt over minimaal 5 jaar relevante .NET en C ervaring"
"JFD22537456","Verder beschik je over ruime webdevelopment ervaring"
"JFD22537456","Je bent goed in klantcontact en bent een goede teamplayer"
"JFD22537456","Je spreekt naast Nederlands ook perfect Engels"
"JFD22539408","Je hebt ervaring met objectgeorienteerd programmeren min. 2 jaar"
"JFD22539408","Je hebt een HBO werk en denkniveau"
"JFD22539408","Je hebt ervaring met SQL Server Webservices JavaScript en HTML ASP.Net VB.Net en of C"
"JFD22540557","Wij vragen Heb jij een passie voor de nieuwste technologieen"
"JFD22540557","Als .NET Developers heb jij een afgeronde HBO opleiding aangevuld met minimaal 2 jaar relevante werkervaring"
"JFD22540557","Je hebt ervaring met C en ASP.NET"
"JFD22540557","Inzicht in architecturen en kennis van complexe n tier applicaties in een multi threaded high performance high transaction volume en high availability omgeving is een absolute pre"
"JFD22540616","HBO werk en denkniveau"
"JFD22540616","Minimaal 3 jaar ervaring als .NET ontwikkelaar"
"JFD22540616","Ervaring met C ASP.NET"
"JFD22540616","Goede beheersing van de Nederlandse taal"
"JFD22540616","Relevante Certificeringen"
"JFD22540756","Als .Net Developer zit je ruimschoots op Senior niveau"
"JFD22540756","Je hebt ervaring met zowel back end als front end development"
"JFD22540756","Communicatief ben je bijzonder sterk"
"JFD22541469","Je houdt van afwisseling en bent goed in staat om je eigen planning en het overzicht te bewaken"
"JFD22541469","Je signaleert kansen vindt het leuk om mee te denken met klantvragen en bent in staat om deze zelfstandig op te pakken"
"JFD22541469","Je bent communicatief sterk en bent aanspreekpunt voor de junior en medior medewerkers van de afdeling"
"JFD22541469","Je draagt bij aan het realiseren van een klantgerichte resultaatgericht en kwaliteitgerichte afdeling"
"JFD22541469","Je komt pro actief met ideeen over hoe het gezamenlijke resultaat kan worden verbeterd"
"JFD22541469","HBO werk en denkniveau"
"JFD22541469","Minimaal 5 jaar ervaring als .NET developer"
"JFD22541469","Kennis van SharePoint is een pre"
"JFD22541469","Kennis van beveiliging OWASP top 10"
"JFD22541469","Een goede beheersing van de Nederlandse taal in woord en schrift"
"JFD22541469","Een flexibele en zelfstandige werkhouding"
"JFD22542816","HBO WO opgeleide Beta s informatici die technisch overzicht hebben die stressbestendig zijn en energie krijgen van dingen regelen en mensen bij elkaar krijgen"
"JFD22542816","Maar ook iemand die het leuk vindt om technische puzzels op te lossen en de boel draaiende te houden"
"JFD22542816","Je bent in staat om de diepte in te duiken maar ook om overzicht te houden in het grote geheel"
"JFD22542816","Het is in deze rol belangrijk dat je een technische interesse hebt en een beetje kan programmeren hoewel je dat niet veel doet"
"JFD22545109","Belangrijkste is dat je enige jaren ervaring hebt als webdeveloper en een echte techneut bent die graag met de techniek bezig is"
"JFD22545109","Verder is het voor deze functie niet heel erg dat je als .NET ontwikkelaar geen specifieke ervaring met dit soort systemen GIS hebt zolang je maar ervaring hebt als .NET programmeur en interesse hebt in GIS systemen dan geloven zij dat je de rest kunt leren"
"JFD22545131","Dit betekent dat je je onder meer goed moet kunnen verplaatsen in de klant en de nodige analytische uitdaging krijgt"
"JFD22545131","De organisatie is op zoek naar iemand die net klaar is met zijn haar HBO of WO opleiding of pas 1 of 2 jaar ervaring heeft als .NET ontwikkelaar"
"JFD22545152","Het belangrijkste is in ieder geval dat je kennis en of ervaring hebt van .NET C of VB"
"JFD22545152","Daarbij is het een pre wanneer je een IT gerelateerde HBO opleiding gevolgd hebt"
"JFD22545160","HBO WO opleiding"
"JFD22545160","Ruime kennis en ervaring met ASP.NET en MVC"
"JFD22545160","Visual Studio"
"JFD22545160","JavaScript CSS HTML"
"JFD23003044","Ervaring met High Trafiic sites is een pre"
"JFD23003044","Dotnet minimaal 2 a 3 jaar ervaring"
"JFD23003044","Sitecore ervaring is een pre"
"JFD23003044","ASP.NET WebForms"
"JFD23003044","ASP.NET MVC C SQL"
"JFD23003044","Scrum Methodiek"
"JFD23003139","Kennis van netwerkdevices Cisco Huawei Avocent Tippingpoint Elproma"
"JFD23003139","Cramer kennis"
"JFD23003139","CCNP Certified"
"JFD23003139","CCNA Certified"
"JFD23003139","NIM Cramer kennis of kennis van andere netwerkadministratie programma s een pre"
"JFD23003139","Ervaring met IP management tooling"
"JFD23003139","Kennis van VLAN configuraties"
"JFD23003139","Administratieve achtergrond"
"JFD23003139","HBO denk en werkniveau"
"JFD23003139","Softskills"
"JFD23003139","Je bent stressbestendig stelt prioriteiten werkt zelfstandig en nauwkeurig maar vindt het samenwerken in teamverband essentieel"
"JFD23003139","Je bent analytisch en pragmatisch resultaat en kwaliteitsgericht"
"JFD23003139","Je beschikt over uitstekende communicatieve vaardigheden"
"JFD23004400","HBO werk en denkniveau"
"JFD23004400","Minimaal 3 jaar werkervaring als .NET developer of .NET consultant"
"JFD23004400","Je hebt ervaring met C en of ASP.NET"
"JFD23004400","Goede beheersing van SQL server"
"JFD23004400","Goede beheersing van de Nederlandse taal"
"JFD23004400","Je werkt graag in teamverband en je vindt het leuk om te sparren met collega s"
"JFD23004400","MCTS MCPD certificering"
"JFD23004400","Kennis ervaring met BI en X"
"JFD23004476","HBO werk denk niveau"
"JFD23004476","Je hebt een relevante IT opleiding afgerond aangevuld met minimaal 5 jaar ervaring in een soortgelijke rol"
"JFD23004476","Je hebt ruime ervaring met Microsoft servertechnologie en bent hierin gecertificeerd MCSA MCTS MCTIP"
"JFD23004476","Den hierbij aan operating systems server en desktop en server producten als Exchange Sharepoint en Active Directory"
"JFD23004476","Je hebt kennis en ervaring met netwerkbeheer CCNA niveau en technieken Juniper firewalls HP en Cisco switches Cisco routers Wireless networking Ipv4 Ipv6 QoS VLAN s OSI model monitoringtools"
"JFD23004476","Je hebt ervaring met beheersoftware en virtualisatietechnieken HyperV basis Vmware MS System Center"
"JFD23004476","Je hebt ervaring met het beheren van server hardware Supermicro HP een SAN high availability server setups HA DAS"
"JFD23004476","Als je kennis hebt van videoconferencing is dat een pre"
"JFD23004476","Je bent sociaal communicatief vaardig zowel mondeling als schriftelijk zelfstandig en functioneert goed in een team"
"JFD23004477","Je hebt een afgeronde HIO opleiding Hogere Informatica Opleiding en of Technische Informatica"
"JFD23004477","Je hebt tenminste 5 jaar ervaring met SCRUM"
"JFD23004477","Ervaring met .NET programmatuur"
"JFD23004477","Je weet als geen ander je teamgenoten te coachen en te motiveren"
"JFD23004477","Je bent een echte teamplayer sociaal en gericht op het delen van kennis"
"JFD23004477","Verder sta je natuurlijk open voor andere ideeen methoden en technieken"
"JFD23004477","Goede beheersing van de Nederlandse taal in woord en geschrift"
"JFD23004768","HBO WO afgeronde technische opleiding"
"JFD23004768","Je hebt tenminste 2 jaar werkervaring als C developer .NET developer"
"JFD23004768","Je hebt ervaring met SQL"
"JFD23004768","Goede beheersing van de Nederlandse taalAanbod"
"JFD23005515","Echter dit houdt ook in dat je in staat moet zijn om om te kunnen omgaan met een werkdruk die soms behoorlijk op kan lopen"
"JFD23005515","Zo wordt er van je verwacht dat je ieder jaar tenminste een opleiding doet"
"JFD23005515","beschikt over de drive om te leren en jezelf te ontwikkelen"
"JFD23005515","analytisch sterk bent en zaken snel kunt oppakken"
"JFD23005515","klantvriendelijk bent"
"JFD23005515","over minimaal een HBO diploma beschikt"
"JFD23005537","MBO HBO opleiding"
"JFD23005537","Goede en up to date kennis van Microsoft .net ontwikkelomgeving"
"JFD23005537","c asp.net sql server"
"JFD23005537","minimaal 1 jaar programmeer ervaring"
"JFD23005537","Doorzettingsvermogen"
"JFD23005537","Flexibele werkhouding"
"JFD23005845","Ben jij innovatief gemotiveerd technisch en analytisch zeer sterk en werk je graag bij een gezellig bedrijf dan is deze vacature gemaakt voor jou"
"JFD23005845","De ideale kandidaat will altijd op de hoogte zijn van de nieuwste ontwikkelingen binnen zijn vakgebied en werkt graag met de modernste technologieen"
"JFD23005845","Aantoonbare relevante werkervaring met C en .NET 4.0"
"JFD23005845","Ervaring met ASP.NET"
"JFD23005845","MVC JSCRIPT HTML en of CSS3"
"JFD23005845","Kennis van Silverlight is een enorme pre"
"JFD23005845","Kennis van Entity Framework NServiceBus SQL Server is een pre"
